Year,Month,DisplayName,Value,Frequency,CumulativeIncremental,CategoryId,CategoryName,DisplayOrder
2025,6,Library Collections,1144746.0,M,c,3,Summary Page for the following : (refer to the library stat platform),1
2025,6,Resources Addded/Catalogued,747.0,M,i,3,Summary Page for the following : (refer to the library stat platform),2
2025,6,Digital & Special Collections,464286.0,M,c,3,Summary Page for the following : (refer to the library stat platform),3
2025,6,Circulation,3838.0,M,i,3,Summary Page for the following : (refer to the library stat platform),4
2025,6,Interlibrary Loan and Document Delivery,7405.0,A,i,3,Summary Page for the following : (refer to the library stat platform),5
2025,6,Facilities - no. Of user entering library,56448.0,M,i,3,Summary Page for the following : (refer to the library stat platform),7
2025,6,Facilities - Seats,2416.0,M,c,3,Summary Page for the following : (refer to the library stat platform),7
2025,6,Public Workstations - Total No. of Public Workstations,351.0,M,c,3,Summary Page for the following : (refer to the library stat platform),10
2025,6,Library Instruction Service - Total Participants,272.0,M,i,3,Summary Page for the following : (refer to the library stat platform),12
2025,6,Library Instruction Service - Total sessions,9.0,M,i,3,Summary Page for the following : (refer to the library stat platform),12
2025,6,Enquiries - Total,753.0,M,i,3,Summary Page for the following : (refer to the library stat platform),13
2025,6,"Events (Include Live Online Events, Exclude Recorded Events) – Total",0.0,M,i,3,Summary Page for the following : (refer to the library stat platform),14
2025,6,Total No. of Visits,12.0,M,i,3,Summary Page for the following : (refer to the library stat platform),16
2025,6,Total No. of Visitors,103.0,M,i,3,Summary Page for the following : (refer to the library stat platform),17
2025,6,Number of Valid Users,45241.0,SA,c,3,Summary Page for the following : (refer to the library stat platform),19
2025,6,JULAC Cards Issued for CityU Eligible Users for the month,69.0,M,i,3,Summary Page for the following : (refer to the library stat platform),20
